id,titulo,genero,classificacao_etaria,nota,ano,duracao,pais,sinopse
1,"Um Lugar Silencioso",Terror,16,7.5,2018,"Mais de 90 min",EUA,"Em um mundo pós-apocalíptico, uma família luta para sobreviver em silêncio, pois o menor ruído pode atrair criaturas mortais."
2,"Invocação do Mal",Terror,18,8.1,2013,"Mais de 90 min",EUA,"Um casal se vê preso em uma casa assombrada por espíritos malignos e precisa enfrentar seus medos para sobreviver."
3,Corra!,Terror,16,7.7,2017,"Até 90 min",EUA,"Um jovem negro descobre que precisa escapar de uma família branca que esconde segredos terríveis."
4,"O Exorcista",Terror,18,8.0,1973,"Mais de 90 min",EUA,"Um exorcista é chamado para ajudar uma jovem possuída por uma entidade demoníaca."
5,Hereditário,Terror,18,7.3,2018,"Mais de 90 min",EUA,"Uma mãe luta para proteger seu filho de uma força sobrenatural que habita sua casa."
6,"O Babadook",Terror,16,6.8,2014,"Até 90 min",Austrália,"Um grupo de amigos se depara com uma presença sobrenatural ao gravar suas experiências paranormais."
7,"Atividade Paranormal",Terror,16,6.3,2007,"Até 90 min",EUA,"Um casal é assombrado por uma entidade enquanto grava sua vida cotidiana em uma casa."
8,Halloween,Terror,18,7.8,1978,"Até 90 min",EUA,"Um assassino mascarado começa uma série de assassinatos em uma noite de Halloween."
9,Midsommar,Terror,18,7.1,2019,"Mais de 90 min",EUA,"Um grupo de amigos enfrenta cultos e terror em um festival de verão."
10,"Jogos Mortais",Terror,18,7.6,2004,"Mais de 90 min",EUA,"Um grupo de amigos se vê preso em um jogo mortal e precisa usar suas habilidades para sobreviver."
11,"John Wick",Ação,16,7.4,2014,"Mais de 90 min",EUA,"Um assassino busca vingar a morte de seu cachorro, envolvendo-se em uma luta implacável contra o crime."
12,"Mad Max: Estrada da Fúria",Ação,16,8.1,2015,"Mais de 90 min",Austrália,"Um grupo de sobreviventes luta pela sobrevivência em um mundo pós-apocalíptico dominado por gangues."
13,"Velozes e Furiosos",Ação,14,6.8,2001,"Mais de 90 min",EUA,"Um grupo de criminosos é forçado a trabalhar juntos em uma missão arriscada."
14,"Duro de Matar",Ação,18,8.2,1988,"Mais de 90 min",EUA,"Um policial aposentado deve enfrentar um terrorista em um prédio em Nova York."
15,Gladiador,Ação,16,8.5,2000,"Mais de 90 min",EUA,"Um general romano busca vingança após ser traído pelo imperador."
16,Matrix,Ação,16,8.7,1999,"Mais de 90 min",EUA,"Um homem é resgatado da realidade e se junta a um grupo de rebeldes contra um sistema opressor."
17,"Os Vingadores",Ação,12,8.0,2012,"Mais de 90 min",EUA,"Um ladrão e uma mulher com habilidades especiais se unem para realizar o maior golpe da história."
